"JON HUNTSMAN JR., MICHELLE KAUFUSI",,31,,,
"GREG HUGHES, VICTOR IVERSON",,22,,,
,Republican for Attorney General,,,,
,Vote For 1,,,,
,,,TOTAL,,
SEAN D. REYES,,59,,,
DAVID O. LEAVITT,,46,,,
,Republican for State Senate 25,,,,
,Vote For 1,,,,
,,,TOTAL,,
CHRIS H WILSON,,65,,,
LYLE W. HILLYARD,,40,,,
,Democratic for U.S. House 1,,,,
,Vote For 1,,,,
,,,TOTAL,,
DARREN PARRY,,7,,,
JAMIE CHEEK,,6,,,
Precinct Summary - 07/13/2020     11:15 AM,,,,5, of 5
Report generated with Electionware Copyright © 2007-2019,,,,,
